Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
third,female,43.0,1,6,46.9,S
third,male,17.0,0,0,8.6625,S
first,male,37.0,1,1,52.5542,S
second,male,62.0,0,0,10.5,S
third,male,8.0,4,1,29.125,Q
third,male,32.0,0,0,56.4958,S
third,female,20.0,1,0,9.825,S
second,female,28.0,0,0,13.0,S
third,female,21.0,0,0,7.75,Q
third,male,37.0,2,0,7.925,S
third,female,17.0,0,0,14.4583,C
third,female,29.498846153846156,0,0,7.75,Q
first,male,46.0,1,0,61.175,S
third,male,29.498846153846156,0,0,15.1,S
third,male,24.0,0,0,8.05,S
first,male,29.0,1,0,64.3625,S
first,female,56.0,0,1,64.3625,C
second,male,31.0,1,1,37.0042,C
third,male,29.498846153846156,0,0,7.75,Q
second,male,32.0,1,0,26.0,S
third,male,33.0,1,1,20.525,S
third,male,59.0,0,0,7.25,S
first,female,58.0,0,0,26.55,S
third,female,29.498846153846156,1,0,16.1,S
second,female,3.0,1,2,41.5792,C
third,male,29.498846153846156,0,0,7.8958,C
first,female,16.0,0,1,57.9792,C
third,female,45.0,1,4,27.9,S
first,female,43.0,0,1,64.3625,S
first,female,30.0,0,0,64.3625,C
third,male,28.5,0,0,16.1,S
third,male,24.0,0,0,7.7958,S
second,male,30.0,0,0,13.0,S
first,male,36.0,0,0,40.125,C
third,male,25.0,0,0,7.05,S
third,female,29.498846153846156,0,2,7.75,Q
first,female,50.0,0,0,28.7125,C
third,female,0.75,2,1,19.2583,C
first,female,24.0,0,0,49.5042,C
second,female,24.0,1,2,64.3625,S
first,female,35.0,1,0,52.0,S
first,female,30.0,0,0,64.3625,S
second,male,23.0,0,0,13.0,S
third,male,29.498846153846156,0,0,7.8958,S
second,male,27.0,0,0,26.0,S
second,female,55.0,0,0,16.0,S
first,female,35.0,1,0,53.1,S
third,male,29.498846153846156,0,0,6.8583,Q
first,female,29.498846153846156,0,0,64.3625,C
third,male,29.498846153846156,1,0,19.9667,S
second,female,23.0,0,0,13.7917,C
third,female,29.498846153846156,0,0,7.7333,Q
first,female,23.0,1,0,64.3625,C
third,male,51.0,0,0,8.05,S
second,female,33.0,0,2,26.0,S
third,female,29.0,0,4,21.075,S
third,male,29.498846153846156,0,0,7.8958,C
third,male,29.498846153846156,8,2,64.3625,S
second,female,2.0,1,1,26.0,S
second,female,14.0,1,0,30.0708,C
second,male,54.0,1,0,26.0,S
third,female,15.0,0,0,8.0292,Q
first,female,22.0,0,1,55.0,S
second,male,27.0,0,0,13.0,S
third,male,29.498846153846156,0,0,7.8958,S
first,male,29.498846153846156,0,0,39.6,C
second,female,28.0,1,0,24.0,C
third,male,39.0,0,0,7.925,S
second,male,2.0,1,1,26.0,S
third,male,24.0,1,0,16.1,S
third,male,32.0,0,0,7.8958,S
third,male,45.5,0,0,7.225,C
second,female,8.0,0,2,26.25,S
third,male,26.0,1,2,20.575,S
first,female,29.0,0,0,64.3625,S
second,female,45.0,1,1,26.25,S
third,female,36.0,1,0,17.4,S
first,male,29.498846153846156,0,0,26.0,S
third,female,4.0,0,2,22.025,S
second,male,16.0,0,0,26.0,S
first,male,58.0,0,0,29.7,C
third,male,40.5,0,2,14.5,S
third,male,25.0,0,0,7.65,S
third,male,29.498846153846156,0,0,7.8958,S
third,male,51.0,0,0,7.0542,S
second,male,29.498846153846156,0,0,0.0,S
third,female,17.0,4,2,7.925,S
third,male,29.498846153846156,0,0,6.95,Q
third,male,40.0,1,1,15.5,Q
third,male,25.0,0,0,0.0,S
first,male,47.0,0,0,25.5875,S
first,male,29.498846153846156,0,0,26.55,S
second,male,44.0,1,0,26.0,S
first,female,23.0,3,2,64.3625,S
second,male,18.0,0,0,11.5,S
second,male,29.0,1,0,21.0,S
third,male,12.0,1,0,11.2417,C
third,male,11.0,0,0,18.7875,C
third,female,22.0,0,0,7.75,Q
second,male,19.0,0,0,10.5,S
third,male,22.0,1,0,7.25,S
third,male,33.0,0,0,7.8958,S
first,male,56.0,0,0,26.55,S
second,male,1.0,0,2,37.0042,C
third,male,22.0,0,0,7.7958,S
third,male,29.498846153846156,0,0,7.2292,C
third,male,29.498846153846156,0,0,7.75,Q
third,male,7.0,4,1,29.125,Q
third,female,4.0,0,1,13.4167,C
second,male,18.0,0,0,13.0,S
third,male,20.0,1,1,15.7417,C
second,male,24.0,2,0,64.3625,S
third,male,29.498846153846156,0,0,7.225,C
second,female,34.0,0,0,10.5,S
third,female,29.498846153846156,0,0,7.75,Q
first,female,31.0,0,2,64.3625,S
third,male,30.0,0,0,7.8958,S
second,male,18.0,0,0,11.5,S
third,female,9.0,3,2,27.9,S
first,female,39.0,1,1,64.3625,S
first,female,33.0,1,0,53.1,S
first,female,24.0,0,0,64.3625,C
first,female,58.0,0,1,64.3625,S
third,male,21.0,0,0,7.8542,S
first,female,17.0,1,0,64.3625,C
third,female,28.0,1,1,14.4,S
first,female,24.0,0,0,64.3625,C
third,male,29.498846153846156,0,0,7.225,C
third,male,29.498846153846156,1,0,15.5,Q
third,male,42.0,0,0,8.6625,S
third,male,18.0,1,0,6.4958,S
third,female,2.0,0,1,12.2875,S
second,female,34.0,0,0,13.0,S
third,male,3.0,4,2,31.3875,S
first,female,58.0,0,0,64.3625,C
third,male,32.0,0,0,7.75,Q
third,male,31.0,0,0,7.925,S
third,male,29.498846153846156,0,0,7.775,S
second,female,27.0,1,0,13.8583,C
third,male,11.0,5,2,46.9,S
second,male,23.0,0,0,13.0,S
first,male,40.0,0,0,0.0,S
third,male,29.498846153846156,0,0,7.2292,C
third,female,28.0,0,0,7.8958,S
second,female,28.0,0,0,13.0,S
third,male,29.498846153846156,1,0,19.9667,S
third,male,19.0,0,0,10.1708,S
third,female,30.0,1,1,24.15,S
third,male,20.0,0,0,7.8542,S
third,male,28.0,0,0,56.4958,S
third,male,36.0,0,0,0.0,S
third,male,29.498846153846156,0,0,8.05,S
first,female,24.0,3,2,64.3625,S
third,male,28.5,0,0,7.2292,C
third,female,24.0,0,3,19.2583,C
second,male,42.0,0,0,13.0,S
first,male,54.0,0,1,64.3625,S
third,male,25.0,0,0,7.7417,Q
third,male,7.0,4,1,39.6875,S
third,male,25.0,1,0,17.8,S
third,female,27.0,0,1,12.475,S
third,female,24.0,1,0,15.85,S
third,male,29.498846153846156,0,0,7.25,S
second,female,28.0,0,0,12.65,S
third,male,19.0,0,0,14.5,S
third,male,22.0,0,0,7.25,S
third,female,29.498846153846156,0,0,7.225,C
third,female,29.498846153846156,8,2,64.3625,S
first,male,42.0,0,0,26.2875,S
second,male,50.0,0,0,13.0,S
second,male,3.0,1,1,18.75,S
first,male,29.498846153846156,0,0,64.3625,C
third,female,18.0,2,0,18.0,S
third,male,18.0,1,1,7.8542,S
first,male,44.0,2,0,64.3625,Q
first,male,29.498846153846156,0,0,30.0,S
first,male,29.498846153846156,0,0,42.4,S
third,male,29.498846153846156,1,0,24.15,Q
third,male,16.0,0,0,7.775,S
third,male,29.498846153846156,0,0,7.3125,S
third,male,22.0,0,0,7.8958,S
second,female,4.0,1,1,23.0,S
second,male,29.498846153846156,0,0,13.0,S
third,male,24.0,0,0,7.1417,S
second,female,30.0,0,0,12.35,Q
third,female,29.0,0,2,15.2458,C
third,male,24.0,0,0,9.5,S
first,female,45.0,1,1,64.3625,S
second,female,32.0,0,0,13.0,S
third,male,21.0,0,0,7.925,S
first,male,35.0,0,0,64.3625,C
third,female,29.498846153846156,8,2,64.3625,S
third,male,29.498846153846156,2,0,23.25,Q
first,male,36.0,0,1,64.3625,C
third,female,41.0,0,5,39.6875,S
third,female,23.0,0,0,7.55,S
third,male,34.0,1,1,14.4,S
second,female,29.498846153846156,0,0,33.0,S
third,male,29.498846153846156,0,0,24.15,Q
third,female,15.0,0,0,7.225,C
third,male,29.498846153846156,0,0,8.05,S
third,female,18.0,0,0,7.775,S
third,male,30.0,0,0,8.05,S
second,male,32.0,2,0,64.3625,S
third,male,4.0,4,1,29.125,Q
third,male,2.0,4,1,29.125,Q
third,male,29.498846153846156,0,0,8.05,S
third,male,29.498846153846156,2,0,21.6792,C
first,female,48.0,0,0,25.9292,S
third,male,31.0,0,0,7.75,Q
first,male,47.0,0,0,34.0208,S
third,female,26.0,1,0,16.1,S
third,male,9.0,5,2,46.9,S
third,male,19.0,0,0,8.05,S
third,male,29.498846153846156,0,0,8.05,S
third,male,22.0,0,0,9.35,S
third,male,29.498846153846156,0,0,7.225,C
second,male,28.0,0,1,33.0,S
second,female,24.0,2,3,18.75,S
third,male,17.0,0,0,8.6625,S
third,male,29.498846153846156,1,0,15.5,Q
third,female,29.498846153846156,3,1,25.4667,S
third,male,21.0,0,0,8.05,S
first,male,51.0,0,0,26.55,S
third,female,3.0,3,1,21.075,S
third,female,0.75,2,1,19.2583,C
third,male,29.498846153846156,0,0,7.2292,C
third,male,34.0,0,0,8.05,S
second,female,18.0,0,1,23.0,S
first,female,44.0,0,0,27.7208,C
third,male,29.498846153846156,0,0,14.5,S
third,male,29.498846153846156,0,0,9.5,S
third,female,37.0,0,0,9.5875,S
second,male,21.0,1,0,11.5,S
first,male,36.0,1,0,64.3625,S
third,male,32.0,0,0,7.925,S
third,female,29.498846153846156,1,2,23.45,S
third,male,26.0,0,0,7.775,S
third,male,55.5,0,0,8.05,S
second,male,60.0,1,1,39.0,S
third,male,29.498846153846156,0,0,7.7333,Q
third,male,18.0,0,0,7.775,S
third,female,14.5,1,0,14.4542,C
second,male,19.0,0,0,10.5,S
second,female,4.0,2,1,39.0,S
third,male,33.0,0,0,8.6542,S
third,male,21.0,0,0,7.7333,Q
third,female,10.0,0,2,24.15,S
second,male,47.0,0,0,15.0,S
third,female,2.0,4,2,31.275,S
second,female,29.0,1,0,26.0,S
first,female,22.0,1,0,64.3625,S
third,male,28.0,1,0,15.85,S
first,male,29.498846153846156,0,0,29.7,C
third,male,26.0,0,0,18.7875,C
third,male,33.0,0,0,9.5,S
second,female,27.0,0,0,10.5,S
third,female,27.0,0,2,11.1333,S
second,male,34.0,0,0,13.0,S
third,male,29.498846153846156,0,0,7.2292,C
first,male,30.0,0,0,27.75,C
third,male,30.0,1,0,16.1,S
second,female,29.498846153846156,0,0,12.35,Q
third,male,29.498846153846156,0,0,7.775,S
first,female,53.0,2,0,51.4792,S
third,male,32.0,0,0,7.925,S
second,male,52.0,0,0,13.0,S
first,male,52.0,1,1,64.3625,S
third,female,39.0,1,5,31.275,S
first,female,2.0,1,2,64.3625,S
third,male,44.0,0,0,7.925,S
second,male,51.0,0,0,12.525,S
second,male,39.0,0,0,26.0,S
first,male,46.0,0,0,64.3625,C
first,male,17.0,0,2,64.3625,C
third,male,30.0,0,0,8.05,S
third,female,9.0,2,2,34.375,S
third,male,27.0,0,0,7.7958,S
third,male,21.0,0,0,8.6625,S
third,male,29.498846153846156,0,0,56.4958,S
third,male,26.0,0,0,7.8958,S
third,male,3.0,1,1,15.9,S
second,male,48.0,0,0,13.0,S
first,female,36.0,0,0,64.3625,C
third,female,29.498846153846156,1,0,15.5,Q
second,female,32.5,0,0,13.0,S
first,female,33.0,0,0,64.3625,S
second,female,22.0,1,2,41.5792,C
third,male,19.0,0,0,6.75,Q
third,male,42.0,0,1,8.4042,S
first,female,40.0,0,0,64.3625,S
third,female,35.0,1,1,20.25,S
third,female,24.0,0,0,8.85,S
third,male,39.0,0,0,7.925,S
second,male,32.5,1,0,30.0708,C
second,male,1.0,2,1,39.0,S
third,male,34.0,0,0,6.4958,S
first,male,64.0,1,4,64.3625,S
third,female,25.0,0,0,7.775,S
third,female,29.498846153846156,0,0,8.05,S
third,male,1.0,1,2,20.575,S
third,male,45.0,0,0,6.975,S
second,male,31.0,1,1,26.25,S
third,female,21.0,1,0,9.825,S
third,male,25.0,0,0,7.8958,S
first,female,15.0,0,1,64.3625,S
third,male,26.0,0,0,7.8875,S
second,male,30.0,0,0,10.5,S
first,female,24.0,0,0,64.3625,C
second,male,35.0,0,0,10.5,S
first,male,29.498846153846156,0,0,0.0,S
third,male,21.0,0,0,16.1,S
third,female,18.0,0,1,9.35,S
third,female,29.498846153846156,0,0,8.1375,Q
third,male,1.0,5,2,46.9,S
third,female,29.498846153846156,8,2,64.3625,S
third,male,26.0,0,0,56.4958,S
third,male,25.0,1,0,7.775,S
second,male,29.498846153846156,0,0,0.0,S
third,male,20.0,0,0,9.5,S
first,female,54.0,1,0,64.3625,C
third,male,22.0,0,0,8.05,S
second,male,59.0,0,0,13.5,S
second,female,54.0,1,3,23.0,S
first,male,27.0,0,0,30.5,S
first,male,31.0,1,0,52.0,S
first,male,22.0,0,0,64.3625,C
first,male,33.0,0,0,5.0,S
third,male,6.0,0,1,12.475,S
third,female,5.0,4,2,31.3875,S
first,male,39.0,0,0,0.0,S
third,male,24.5,0,0,8.05,S
second,male,54.0,0,0,14.0,S
third,male,29.498846153846156,0,0,7.55,S
third,male,29.498846153846156,0,0,7.8958,S
third,male,30.0,0,0,7.2292,C
third,female,29.498846153846156,0,0,7.8792,Q
first,female,35.0,0,0,64.3625,C
first,female,21.0,0,0,64.3625,S
first,male,32.0,0,0,30.5,C
third,male,16.0,0,0,9.5,S
third,female,22.0,0,0,7.25,S
third,male,29.498846153846156,0,0,7.8958,S
first,male,38.0,1,0,64.3625,S
third,male,29.498846153846156,8,2,64.3625,S
second,male,25.0,1,0,26.0,S
second,female,33.0,1,2,27.75,S
third,female,29.498846153846156,1,0,16.1,S
first,male,18.0,1,0,64.3625,C
third,male,29.498846153846156,1,0,16.1,S
third,male,29.498846153846156,0,0,7.8958,S
third,male,2.0,4,1,39.6875,S
third,male,0.42,0,1,8.5167,C
second,male,26.0,0,0,10.5,S
third,male,41.0,0,0,7.125,S
first,male,48.0,1,0,64.3625,C
second,female,48.0,1,2,64.3625,S
first,female,48.0,1,0,39.6,C
third,male,4.0,4,2,31.275,S
first,female,39.0,1,0,55.9,S
third,female,33.0,3,0,15.85,S
second,male,29.0,0,0,10.5,S
first,male,49.0,1,1,64.3625,C
third,male,29.498846153846156,8,2,64.3625,S
third,male,29.498846153846156,0,0,7.2292,C
first,male,42.0,1,0,52.0,S
first,female,36.0,0,2,64.3625,S
first,male,61.0,0,0,33.5,S
third,female,18.0,0,0,6.75,Q
third,female,18.0,0,0,7.4958,S
second,male,0.67,1,1,14.5,S
third,male,32.0,0,0,56.4958,S
third,male,29.498846153846156,0,0,8.05,S
third,male,29.498846153846156,0,0,8.05,S
third,female,29.498846153846156,1,0,14.4542,C
third,male,16.0,0,0,8.05,S
first,male,31.0,1,0,57.0,S
first,male,48.0,0,0,26.55,S
third,male,22.0,0,0,7.225,C
third,female,13.0,0,0,7.2292,C
third,male,32.0,1,0,15.85,S
third,male,28.0,2,0,7.925,S
second,male,46.0,0,0,26.0,S
third,male,28.0,0,0,7.7958,S
second,male,42.0,1,0,27.0,S
third,male,35.0,0,0,8.05,S
third,female,2.0,3,2,27.9,S
third,female,31.0,0,0,8.6833,S
third,female,29.498846153846156,1,0,15.5,Q
third,male,29.498846153846156,0,0,7.8958,S
second,female,19.0,1,0,26.0,S
third,male,20.0,0,0,8.6625,S
third,male,14.0,5,2,46.9,S
second,female,34.0,0,1,23.0,S
third,female,29.498846153846156,0,0,7.7375,Q
third,female,29.498846153846156,0,0,7.75,Q
third,male,51.0,0,0,7.75,S
third,female,29.498846153846156,0,0,7.6292,Q
third,female,29.498846153846156,0,0,7.75,Q
third,female,29.498846153846156,0,0,7.75,Q
third,male,28.0,0,0,9.5,S
second,male,25.0,0,0,13.0,S
first,male,19.0,3,2,64.3625,S
third,male,35.0,0,0,7.8958,C
first,female,35.0,1,0,64.3625,S
third,male,9.0,1,1,15.9,S
third,male,20.0,0,0,4.0125,C
second,male,42.0,0,0,13.0,S
second,male,30.0,0,0,13.0,S
second,male,29.498846153846156,0,0,0.0,S
third,male,21.0,0,0,7.7958,S
third,male,47.0,0,0,7.25,S
first,female,25.0,1,2,64.3625,S
third,male,16.0,0,0,9.2167,S
first,male,45.0,1,0,64.3625,S
third,male,38.0,0,0,8.6625,S
first,male,56.0,0,0,35.5,C
third,female,29.498846153846156,1,1,22.3583,C
first,male,31.0,0,0,50.4958,S
first,female,30.0,0,0,64.3625,S
first,male,29.498846153846156,0,0,27.7208,C
third,female,14.0,0,0,7.8542,S
third,female,16.0,0,0,7.7333,Q
third,female,40.0,1,0,9.475,S
first,male,55.0,0,0,30.5,S
third,male,19.0,0,0,7.775,S
first,male,45.0,0,0,26.55,S
first,female,36.0,1,2,64.3625,S
third,female,27.0,0,0,7.925,S
first,female,49.0,1,0,64.3625,C
first,female,41.0,0,0,64.3625,C
first,male,19.0,1,0,53.1,S
third,male,33.0,0,0,7.775,S
first,male,27.0,1,0,53.1,S
first,male,29.498846153846156,0,0,27.7208,C
first,male,35.0,0,0,26.2875,S
third,female,29.0,1,1,10.4625,S
second,female,30.0,3,0,21.0,S
third,male,34.0,0,0,8.05,S
third,male,29.0,0,0,7.8958,C
first,female,19.0,0,0,30.0,S
first,female,35.0,0,0,64.3625,S
third,male,29.498846153846156,8,2,64.3625,S
second,female,40.0,0,0,15.75,S
first,male,62.0,0,0,26.55,S
third,female,25.0,1,0,7.925,S
third,male,26.0,0,0,8.05,S
third,female,18.0,0,1,14.4542,C
second,male,34.0,1,0,21.0,S
third,male,48.0,0,0,7.8542,S
third,male,28.0,0,0,7.8958,S
third,male,24.0,2,0,24.15,S
second,female,17.0,0,0,12.0,C
first,female,38.0,1,0,64.3625,C
third,male,29.498846153846156,0,0,7.2292,C
third,male,40.0,0,0,7.8958,S
third,male,22.0,0,0,9.0,S
third,female,2.0,0,1,10.4625,S
first,male,28.0,1,0,64.3625,C
third,male,18.0,0,0,7.75,S
third,male,28.0,0,0,22.525,S
second,female,19.0,0,0,26.0,S
third,male,29.498846153846156,0,0,8.05,S
first,female,60.0,1,0,64.3625,C
third,male,20.0,0,0,7.8542,S
first,male,45.0,0,0,35.5,S
third,female,29.498846153846156,0,0,8.05,S
second,female,24.0,0,0,13.0,S
third,male,29.498846153846156,0,0,7.75,Q
third,female,29.498846153846156,1,0,15.5,Q
third,male,39.0,1,5,31.275,S
third,female,26.0,0,0,7.8542,S
second,female,24.0,2,1,27.0,S
second,female,36.0,0,0,13.0,S
first,male,37.0,0,1,29.7,C
first,female,29.498846153846156,0,1,55.0,S
second,male,28.0,0,0,10.5,S
third,male,19.0,0,0,7.8958,S
third,male,43.0,0,0,6.45,S
first,male,25.0,1,0,64.3625,C
third,male,47.0,0,0,9.0,S
first,female,16.0,0,0,64.3625,S
second,male,0.83,1,1,18.75,S
third,male,22.0,0,0,7.125,S
third,male,19.0,0,0,7.8958,S
second,male,28.0,0,0,13.5,S
third,male,14.0,4,1,39.6875,S
third,male,36.0,0,0,7.8958,S
first,male,29.0,0,0,30.0,S
third,male,42.0,0,0,7.65,S
first,male,29.498846153846156,0,0,52.0,S
first,male,27.0,0,0,64.3625,C
third,male,29.0,0,0,7.75,Q
second,female,5.0,1,2,27.75,S
third,female,22.0,0,0,9.8375,S
third,male,29.498846153846156,0,0,7.75,Q
second,female,30.0,0,0,13.0,S
first,male,62.0,0,0,26.55,S
second,male,34.0,0,0,13.0,S
third,male,28.0,0,0,7.8958,S
third,male,29.498846153846156,0,0,7.75,Q
third,male,44.0,0,1,16.1,S
third,female,45.0,0,0,7.75,S
second,male,19.0,0,0,13.0,S
second,male,18.0,0,0,64.3625,S
third,male,31.0,0,0,7.775,S
second,male,29.498846153846156,0,0,0.0,S
third,male,21.0,0,0,7.25,S
second,male,25.0,0,0,13.0,S
third,male,32.0,0,0,8.3625,S
second,male,30.0,1,0,24.0,C
third,male,40.0,0,0,7.225,C
third,male,33.0,0,0,7.8958,C
third,male,36.0,0,0,7.4958,S
first,female,47.0,1,1,52.5542,S
second,male,34.0,1,0,26.0,S
third,male,19.0,0,0,8.05,S
third,male,29.498846153846156,0,0,8.05,S
second,female,50.0,0,0,10.5,S
third,female,29.498846153846156,2,0,23.25,Q
third,male,29.498846153846156,1,0,7.75,Q
second,male,29.498846153846156,0,0,0.0,S
third,male,29.498846153846156,0,0,8.05,S
third,male,35.0,0,0,8.05,S
second,male,35.0,0,0,26.0,S
first,female,18.0,1,0,64.3625,C
third,female,16.0,5,2,46.9,S
third,female,21.0,0,0,7.65,S
first,male,29.498846153846156,0,0,31.0,S
third,male,41.0,2,0,14.1083,S
first,female,14.0,1,2,64.3625,S
first,male,21.0,0,1,64.3625,S
